Paper,Method,Spherical,NinaPro,ECG,Satellite
MP-NAS,Expert,1.397677794,1.322727273,1,1.61237785
MP-NAS,Rand. Pred.,1.420899855,1.548484848,1.142857143,1.136807818
MP-NAS,MP-1NAS,1.335268505,1.104545455,1.142857143,1.031758958
DASH,WRN,1.778353722,1.027272727,1.535714286,1.261400651
DASH,Expert,1.397677794,1.322727273,1,1.61237785
DASH,Perceiver IO,1.712004976,3.366666667,2.357142857,1.29723127
DASH,WRN-1ASHA,1.564586357,1.112121212,1.535714286,1.28990228
DASH,DARTS-1GAEA,1,2.677272727,1.214285714,1.018729642
DASH,DenseNAS,1.513373419,1.540909091,1.428571429,1.124592834
DASH,BABY DASH,1.315571221,1.254545455,1.321428571,1.082247557
DASH,DASH,1.477918308,1,1.142857143,1
NAS 360,WRN,1.778353722,1.027272727,1.535714286,1.261400651
NAS 360,DenseNAS (random),1.476881609,1.28030303,1.5,1.132736156
NAS 360,DenseNAS (original),1.513373419,1.540909091,1.428571429,1.124592834
NAS 360,Perceiver IO (default),1.712004976,3.366666667,2.357142857,1.29723127
NAS 360,XGBoost (default),2.009537632,3.318181818,2,2.960912052
NAS 360,WRN-1ASHA,1.564586357,1.112121212,1.535714286,1.28990228
NAS 360,DARTS-1GAEA,1,2.677272727,1.214285714,1.018729642
NAS 360,Expert (default),1.397677794,1.322727273,1,1.61237785
AutoML Decathlon,TrueFit,1.201445717,1,2.099843994,1.668439716
AutoML Decathlon,TEG-1AutoML,1.332651391,1.220890411,1,1.331117021
AutoML Decathlon,Freiburg-1AutoML-1Lab,1.081287507,1.104452055,2.780031201,1
AutoML Decathlon,euxhenh,1,1.104452055,1.183151326,1.799202128
AutoML Decathlon,tak,1.332651391,1.624143836,2.31825273,1.074024823
AutoML Decathlon,XGBBaseline,1.317512275,1.805650685,1.684867395,2.691489362
