Paper,Method,Spherical,Darcy Flow,NinaPro,ECG,Satellite,DeepSEA,FSD50K,Cosmic,PSICOV ,CIFAR-100 (0-1 err %)
MP-NAS,DASH,1.477918308,1.012820513,1,1.142857143,1,-1,-1,-1,-1,-1
MP-NAS,Expert,1.397677794,1.025641026,1.322727273,1,1.61237785,-1,-1,-1,-1,-1
MP-NAS,Rand. Pred.,1.420899855,1.282051282,1.548484848,1.142857143,1.136807818,-1,-1,-1,-1,-1
MP-NAS,MP-1NAS,1.335268505,1,1.104545455,1.142857143,1.031758958,-1,-1,-1,-1,-1
DASH,WRN,1.778353722,9.358974359,1.027272727,1.535714286,1.261400651,1.428571429,1.533333333,1.88976378,1.306122449,1.204228984
DASH,Expert,1.397677794,1.025641026,1.322727273,1,1.61237785,1.071428571,1.033333333,1.023622047,1.139455782,1
DASH,Perceiver IO,1.712004976,30.76923077,3.366666667,2.357142857,1.29723127,1.357142857,1.2,3.779527559,2.741496599,3.612171222
DASH,WRN-1ASHA,1.564586357,8.461538462,1.112121212,1.535714286,1.28990228,1.464285714,1.516666667,1.968503937,1.306122449,1.206291903
DASH,DARTS-1GAEA,1,3.333333333,2.677272727,1.214285714,1.018729642,1.285714286,1.566666667,1.732283465,1,1.238782878
DASH,DenseNAS,1.513373419,12.82051282,1.540909091,1.428571429,1.124592834,1.428571429,1.066666667,2.992125984,1.306122449,1.33986591
DASH,Auto-1DL,-1,6.282051282,-1,-1,-1,-1,-1,3.858267717,2.289115646,-1
DASH,BABY DASH,1.315571221,2.051282051,1.254545455,1.321428571,1.082247557,1.321428571,1.033333333,1.25984252,1.340136054,1.31820526
DASH,DASH,1.477918308,1.012820513,1,1.142857143,1,1,1,1.496062992,1.12244898,1.256833419
DASH,TCN,-1,-1,-1,2.035714286,1.320032573,1.571428571,-1,-1,-1,-1
DASH,AMBER,-1,-1,-1,2.392857143,1.056188925,2.428571429,-1,-1,-1,-1
NAS 360,WRN,1.778353722,9.358974359,1.027272727,1.535714286,1.261400651,1.428571429,1.533333333,1.929133858,1.306122449,1.204228984
NAS 360,DenseNAS (random),1.476881609,9.102564103,1.28030303,1.5,1.132736156,1.428571429,1,2.433070866,1.258503401,1.314595152
NAS 360,DenseNAS (original),1.513373419,12.82051282,1.540909091,1.428571429,1.124592834,1.428571429,1.066666667,3.015748031,1.306122449,1.33986591
NAS 360,Perceiver IO (default),1.712004976,30.76923077,3.366666667,2.357142857,1.29723127,1.357142857,1.2,3.818897638,2.741496599,3.612171222
NAS 360,XGBoost (default),2.009537632,10.8974359,3.318181818,2,2.960912052,1.785714286,1.633333333,1.826771654,-1,4.374935534
NAS 360,WRN-1ASHA,1.564586357,8.461538462,1.112121212,1.535714286,1.28990228,1.464285714,1.516666667,1.976377953,1.306122449,1.206291903
NAS 360,DARTS-1GAEA,1,3.333333333,2.677272727,1.214285714,1.018729642,1.285714286,1.566666667,1.803149606,1,1.238782878
NAS 360,Auto-1DL (DARTS),-1,6.282051282,-1,-1,-1,-1,-1,3.897637795,2.289115646,-1
NAS 360,Expert (default),1.397677794,1.025641026,1.322727273,1,1.61237785,1.071428571,1.033333333,1,1.139455782,1
NAS 360,AMBER (ENAS),-1,-1,-1,1.178571429,1.056188925,1.142857143,-1,-1,-1,-1
AutoML Decathlon,TrueFit,1.201445717,-1,1,2.099843994,1.668439716,1.207294264,1.350436833,20.50617284,-1,-1
AutoML Decathlon,TEG-1AutoML,1.332651391,-1,1.220890411,1,1.331117021,1.556109726,1.068090417,20.50617284,-1,-1
AutoML Decathlon,Freiburg-1AutoML-1Lab,1.081287507,-1,1.104452055,2.780031201,1,1,1,1.962962963,-1,-1
AutoML Decathlon,euxhenh,1,-1,1.104452055,1.183151326,1.799202128,1.17425187,1.187075302,1,-1,-1
AutoML Decathlon,tak,1.332651391,-1,1.624143836,2.31825273,1.074024823,1.390274314,1.347247261,18.27983539,-1,-1
AutoML Decathlon,XGBBaseline,1.317512275,-1,1.805650685,1.684867395,2.691489362,1.556109726,1.336291776,19.2962963,-1,-1
