experiment,x_begin1_hair,y_begin1_hair,dx1_hair,dy1_hair
1,-8.426,-9.9,16.851,0
2,-8.793,-9.575,17.585,0
3,-9.134,-9.251,18.267,0
4,-9.451,-8.926,18.902,0
5,-9.747,-8.602,19.495,0
6,-10.024,-8.277,20.049,0
7,-10.284,-7.952,20.568,0
8,-10.527,-7.628,21.054,0
9,-10.755,-7.303,21.509,0
10,-10.968,-6.979,21.936,0
11,-11.168,-6.654,22.336,0
12,-11.355,-6.33,22.71,0
13,-11.53,-6.005,23.06,0
14,-11.693,-5.68,23.387,0
15,-11.846,-5.356,23.691,0
16,-11.987,-5.031,23.974,0
17,-12.118,-4.707,24.236,0
18,-12.239,-4.382,24.478,0
19,-12.351,-4.057,24.701,0
20,-12.453,-3.733,24.905,0
21,-12.545,-3.408,25.091,0
22,-12.629,-3.084,25.258,0
23,-12.704,-2.759,25.408,0
24,-12.77,-2.434,25.54,0
25,-12.828,-2.11,25.655,0
26,-12.877,-1.785,25.754,0
27,-12.918,-1.461,25.835,0
28,-12.95,-1.136,25.901,0
29,-12.975,-0.811,25.949,0
30,-12.991,-0.487,25.982,0
31,-12.999,-0.162,25.998,0
32,-12.999,0.162,25.998,0
33,-12.991,0.487,25.982,0
34,-12.975,0.811,25.949,0
35,-12.95,1.136,25.901,0
36,-12.918,1.461,25.835,0
37,-12.877,1.785,25.754,0
38,-12.828,2.11,25.655,0
39,-12.77,2.434,25.54,0
40,-12.704,2.759,25.408,0
41,-12.629,3.084,25.258,0
42,-12.545,3.408,25.091,0
43,-12.453,3.733,24.905,0
44,-12.351,4.057,24.701,0
45,-12.239,4.382,24.478,0
46,-12.118,4.707,24.236,0
47,-11.987,5.031,23.974,0
48,-11.846,5.356,23.691,0
49,-11.693,5.68,23.387,0
50,-11.53,6.005,23.06,0
51,-11.355,6.33,22.71,0
52,-11.168,6.654,22.336,0
53,-10.968,6.979,21.936,0
54,-10.755,7.303,21.509,0
55,-10.527,7.628,21.054,0
56,-10.284,7.952,20.568,0
57,-10.024,8.277,20.049,0
58,-9.747,8.602,19.495,0
59,-9.451,8.926,18.902,0
60,-9.134,9.251,18.267,0
61,-8.793,9.575,17.585,0
62,-8.426,9.9,16.851,0
