output_1,output_2,output_3
1.0,1.0,101.2123647808543
1.0,7.0,120.8771367223429
1.0,3.0,10.012277452618
1.0,1.0,42.10934688783195
1.0,6.0,42.62018976030483
1.0,1.0,-0.03086203483007921
1.0,8.0,478.5621927951519
1.0,6.0,746.230042881235
1.0,8.0,-0.01697021549694
0.0,1.0,648.6397190704935
1.0,1.0,321.1694591881036
0.0,0.0,1160.770186303431
1.0,1.0,-0.04052840808913061
0.0,3.0,995.3996273393052
0.0,1.0,1106.84659338907
1.0,1.0,0.02126184445728541
1.0,5.0,35.89450816408308
1.0,9.0,146.6621609482808
1.0,2.0,101.17926861134
1.0,10.0,0.05332090482374952
1.0,4.0,156.5800201042305
1.0,1.0,-0.001140689168209974
0.0,5.0,969.4774502262604
1.0,7.0,282.5893771852843
1.0,9.0,0.04363745009914055
1.0,3.0,434.8478180596495
1.0,4.0,178.7213043981571
0.0,2.0,1119.153352414449
1.0,1.0,-0.02013859206363122
0.0,0.0,1402.74078932194
1.0,3.0,0.008650874764953187
0.0,1.0,838.8991088584742
0.0,4.0,919.8504237120588
1.0,3.0,0.02768843669218768
1.0,13.0,477.8080496218217
1.0,6.0,72.73319428234595
1.0,5.0,269.5389735011868
1.0,4.0,429.4814950523776
1.0,2.0,422.6803287765892
1.0,4.0,499.9290259894182
0.0,2.0,908.3817452643574
1.0,4.0,30.18308023820678
1.0,2.0,-0.002024661790528626
1.0,6.0,-0.000368841594308833
1.0,6.0,105.2160215027438
1.0,1.0,0.007813132604042039
1.0,1.0,18.35049226868666
0.0,5.0,1213.032315350567
1.0,5.0,233.1038931528452
0.0,3.0,1228.286957710859
0.0,3.0,972.8109678392312
0.0,5.0,1239.11273887001
1.0,1.0,0.0004902200280412217
1.0,11.0,113.341972885594
1.0,6.0,74.89946261426918
0.0,2.0,1238.52934995255
0.0,0.0,1068.673675992796
1.0,6.0,149.3838525071086
1.0,1.0,103.4081911525044
1.0,10.0,129.1464811852394
1.0,1.0,-0.04597810843279149
1.0,7.0,301.3897817251278
0.0,0.0,1039.719310645593
1.0,2.0,41.09686695718992
1.0,1.0,0.01135204110664745
1.0,2.0,24.93444692870869
1.0,1.0,13.65266305532478
1.0,6.0,122.622478928892
1.0,6.0,294.3384924167956
1.0,1.0,0.01230106576440448
1.0,15.0,405.6115526524254
0.0,3.0,961.7012057436804
1.0,10.0,327.8072624567754
1.0,4.0,0.02501672992661952
0.0,8.0,784.9932119235517
1.0,2.0,53.47347233252766
1.0,4.0,88.13087486011526
1.0,2.0,54.8323002069922
1.0,1.0,11.41401408850676
1.0,3.0,-0.001963161457069873
0.0,4.0,1134.310989350619
1.0,6.0,127.7036219437427
1.0,2.0,-0.002795191812424491
0.0,4.0,919.4394756212284
1.0,4.0,0.04417931088028126
1.0,10.0,108.829394563944
1.0,6.0,99.57095256493474
1.0,1.0,0.04302691279758619
1.0,1.0,43.91488362341314
1.0,10.0,194.3072369462683
0.0,1.0,795.4222937283289
1.0,2.0,0.000578289889745065
0.0,0.0,1218.68914396448
0.0,0.0,970.3490190870756
1.0,2.0,42.39305252153128
1.0,1.0,-0.005315281930734272
1.0,1.0,0.001011544023185706
1.0,8.0,556.0131006787401
1.0,6.0,0.001960352483138195
1.0,1.0,57.99875048175824
1.0,9.0,358.905694204563
1.0,8.0,148.560651306485
1.0,1.0,0.001767245955647923
1.0,1.0,66.17594040885571
1.0,8.0,134.0140098409888
1.0,1.0,6.798940979940883
1.0,7.0,66.60448790756159
1.0,2.0,116.2647238033473
1.0,3.0,54.35787586492363
1.0,1.0,-0.03967736837307712
1.0,2.0,34.76317550966316
1.0,3.0,120.4887617076879
1.0,4.0,73.50271094083502
1.0,6.0,48.18324531523673
1.0,12.0,39.08325467743931
1.0,7.0,363.8322858214255
0.0,5.0,1522.619751954941
1.0,11.0,113.3445593421476
1.0,10.0,221.8200830203544
0.0,0.0,792.5187948289681
1.0,1.0,-0.001884980973045458
1.0,9.0,402.3452753411387
1.0,1.0,-0.01346663609297138
1.0,7.0,-0.0009647679853515001
1.0,6.0,-0.0254103455290533
1.0,1.0,82.92369425553827
1.0,1.0,-0.004948823376707878
1.0,5.0,-0.00477728760233731
1.0,3.0,74.36814384562729
0.0,1.0,1382.061382237415
1.0,5.0,146.011087469022
1.0,1.0,0.001230340422239351
1.0,1.0,-0.00325183456322975
1.0,6.0,34.70781461705999
0.0,5.0,934.5442232992878
1.0,8.0,-0.02821232373321436
1.0,3.0,49.67141898872234
1.0,1.0,0.003114181821842976
0.0,1.0,1000.460112040936
0.0,2.0,943.673571991663
0.0,7.0,1034.185224659176
1.0,12.0,133.6878306381176
0.0,4.0,1412.005887945312
1.0,4.0,0.003307125895958052
1.0,5.0,451.5102328724106
0.0,9.0,1024.041212174611
1.0,5.0,18.66406734036326
1.0,1.0,0.02593833648916188
1.0,6.0,178.7746596933977
1.0,3.0,23.21335860523904
1.0,2.0,59.91608500913591
0.0,0.0,886.7931183050341
1.0,4.0,247.1218700059568
1.0,1.0,-0.001057347759569893
1.0,2.0,433.2043657036767
1.0,1.0,0.01893433180953252
1.0,1.0,0.003585146872410405
1.0,3.0,215.6112815462413
0.0,7.0,719.5056610486918
1.0,5.0,0.02403460062714657
0.0,6.0,830.5711280247363
0.0,4.0,1123.548549435528
1.0,4.0,0.002558857287453975
1.0,2.0,-0.003830161371411123
1.0,4.0,232.9214207540521
1.0,1.0,0.03666826907101495
1.0,7.0,187.9826648239679
0.0,5.0,1204.596051098726
1.0,2.0,0.05308300160891122
0.0,4.0,837.2581639591073
1.0,1.0,80.77790101751818
1.0,1.0,23.86426637721339
1.0,2.0,74.82792746094462
1.0,7.0,-0.003065405203415139
0.0,4.0,1032.216242094792
1.0,1.0,-0.003164507982205578
1.0,3.0,110.098200414356
0.0,6.0,837.8509136703277
1.0,7.0,536.5116120379203
1.0,4.0,0.0193490294689127
1.0,9.0,80.64638505102734
0.0,0.0,1264.935239996556
1.0,5.0,57.87919920043653
1.0,1.0,-0.003336026673537162
1.0,2.0,-0.003199216204393451
1.0,5.0,232.762008781639
1.0,9.0,147.5453433316267
1.0,5.0,63.54519940990299
1.0,2.0,0.0004901505827774599
0.0,0.0,1235.938217397686
1.0,6.0,130.4541802411993
0.0,5.0,1054.480532408581
1.0,2.0,469.0056191761122
1.0,6.0,168.0246490936029
1.0,4.0,56.65229484231639
1.0,2.0,89.02097556736634
1.0,2.0,267.8106233712554
0.0,2.0,1007.739216687172
1.0,7.0,0.04345485789281156
1.0,1.0,0.03947775725100655
1.0,4.0,220.7203781873313
1.0,8.0,-0.04002090513608891
0.0,0.0,955.9290331574124
1.0,5.0,179.84502751896
0.0,2.0,904.0623751737946
1.0,2.0,896.0301827975777
1.0,6.0,85.30454835778885
1.0,11.0,635.0351940533652
1.0,1.0,0.002701094659073533
1.0,8.0,55.42388702289483
1.0,2.0,197.0260763114441
0.0,3.0,845.1307750385224
1.0,9.0,143.720165205762
1.0,4.0,179.6935469508564
0.0,6.0,920.2513149143364
1.0,1.0,0.001967368493296817
1.0,1.0,13.09734640625754
1.0,8.0,128.8975497353405
1.0,3.0,-0.003620615865884247
0.0,0.0,1191.214017082637
0.0,10.0,681.5254831302684
1.0,1.0,0.0007796333513852005
0.0,8.0,807.0592936957095
1.0,3.0,57.66517167610115
0.0,3.0,1212.732921379086
1.0,1.0,71.28202704353313
0.0,1.0,987.7549912707676
0.0,2.0,1125.428572724172
0.0,0.0,1043.88366470587
1.0,11.0,0.001489419679046478
0.0,0.0,952.6949622787944
1.0,1.0,-0.04430877866798255
1.0,1.0,2.548801751345309e-05
1.0,1.0,-0.03267382306762556
0.0,1.0,879.4223611558253
1.0,17.0,299.8410345131845
0.0,1.0,1364.100933357997
1.0,4.0,331.612135874233
0.0,4.0,1243.607964702804
1.0,9.0,-0.008281162266484898
1.0,6.0,-0.02565253956981906
1.0,3.0,406.2120514503646
1.0,2.0,-0.0006084883528956198
0.0,13.0,655.1378667996855
1.0,2.0,125.2350176593329
1.0,4.0,333.0326672938459
1.0,8.0,120.0830245596742
1.0,3.0,196.2924825215102
0.0,0.0,1114.147381928444
0.0,5.0,957.438115457077
1.0,12.0,96.74975822973909
1.0,1.0,0.003176234810325695
1.0,11.0,297.8639028977281
1.0,2.0,75.79191375368309
1.0,5.0,28.47066564992787
1.0,7.0,46.79995469865625
1.0,13.0,165.3613252343265
1.0,3.0,41.554440980022
1.0,4.0,2.903777296851041
0.0,0.0,1265.321337398999
1.0,12.0,-0.003133567469262744
1.0,3.0,32.99027809152798
1.0,5.0,90.10828760513323
0.0,2.0,1090.333208134245
1.0,8.0,179.6730175935699
1.0,7.0,60.30291800615465
1.0,1.0,0.002515979498980414
1.0,3.0,298.3519938666841
0.0,18.0,465.9262271631866
0.0,1.0,1316.848566050207
1.0,1.0,64.82792535636212
1.0,1.0,-0.004166915250834791
1.0,9.0,152.0194674826198
1.0,10.0,130.448228466711
0.0,1.0,919.8522122863808
1.0,2.0,92.42037790249728
1.0,2.0,0.004701552884625926
1.0,2.0,66.5850036741887
1.0,7.0,195.5619899113177
1.0,1.0,-0.02090375768534614
1.0,1.0,0.0005260191913976087
0.0,3.0,990.7317791138094
1.0,2.0,64.96730194564641
1.0,3.0,-0.02233803999752126
1.0,1.0,0.009635662008122381
1.0,3.0,58.73216985029315
1.0,4.0,33.22138779556159
0.0,6.0,1070.42039666453
0.0,5.0,1006.18631478837
0.0,7.0,1056.84254109583
1.0,2.0,152.557866966373
1.0,2.0,0.02953627389388203
1.0,1.0,-0.02796178818903172
1.0,9.0,201.5059128344171
1.0,4.0,56.71464659645504
1.0,2.0,5.333305661222649
0.0,6.0,726.0999087734621
1.0,2.0,-0.01188650105405031
1.0,5.0,66.07501096292312
1.0,1.0,0.02008791805383225
1.0,1.0,88.41525415180335
1.0,6.0,11.44393367290781
1.0,12.0,90.67834744320878
1.0,9.0,-0.04260707791831919
1.0,1.0,116.2331422390737
1.0,5.0,188.2212176612955
1.0,1.0,0.0218380841220096
1.0,5.0,436.132441900835
1.0,1.0,17.9598624463384
1.0,3.0,0.003347246909356727
1.0,6.0,-0.03016118645837196
1.0,5.0,0.00328434711252612
1.0,1.0,0.003346293172171499
1.0,2.0,61.86670739201663
1.0,1.0,0.0006232098747886994
1.0,8.0,0.04541141163076645
1.0,2.0,42.43638569093299
1.0,10.0,122.0207157478394
1.0,4.0,0.001921261024563137
1.0,2.0,0.007328740779257714
1.0,13.0,96.55643529264415
1.0,3.0,0.004024437417115223
1.0,2.0,109.3606551157578
0.0,4.0,1144.401003763269
1.0,3.0,-0.00389927378887478
0.0,5.0,823.6881392363598
