iter	RMSE
0	0.4817052639
1	0.4707058111
2	0.4597090773
3	0.4493969926
4	0.4413744187
5	0.4329757782
6	0.4255530767
7	0.4175635451
8	0.4112459964
9	0.4044864411
10	0.3984625946
11	0.3925393653
12	0.3880599092
13	0.3829056718
14	0.3782091793
15	0.3744637177
16	0.3702157418
17	0.3666988432
18	0.362887202
19	0.3594289011
20	0.3565372968
21	0.3538216767
22	0.3511765237
23	0.3485046457
24	0.3457227967
25	0.3432087926
26	0.34098661
27	0.3392243572
28	0.3375888033
29	0.3361021175
30	0.3344097667
31	0.3324674363
32	0.3309300322
33	0.3296553363
34	0.3282211718
35	0.3269583556
36	0.3257789241
37	0.3245294611
38	0.3236691134
39	0.3222686169
40	0.3212553742
41	0.3201106047
42	0.318953136
43	0.317852069
44	0.3168813706
45	0.3159410827
46	0.314765643
47	0.3142586856
48	0.3134978077
49	0.3127156471
50	0.3119781795
51	0.3113807573
52	0.3111736042
53	0.3103109578
54	0.3097992016
55	0.3091001029
56	0.3083745896
57	0.3078333194
58	0.3073991869
59	0.3069080329
60	0.3062950264
61	0.3056715231
62	0.3052610262
63	0.3048631821
64	0.30437657
65	0.3036151419
66	0.3031352622
67	0.302851152
68	0.3023431243
69	0.3020287562
70	0.3013871401
71	0.3009802294
72	0.3006449191
73	0.3003039383
74	0.2998998242
75	0.2995088538
76	0.2990145209
77	0.2985703662
78	0.2981574159
79	0.2976704771
80	0.2972931757
81	0.2970386545
82	0.2967666847
83	0.2965337179
84	0.2962877434
85	0.2960730843
86	0.2957278375
87	0.2954575772
88	0.2952506014
89	0.2948476681
90	0.294413713
91	0.2942267163
92	0.2940606176
93	0.2938367816
94	0.2935258742
95	0.2932142827
96	0.2929481427
97	0.292685921
98	0.2924374764
99	0.2922405177
100	0.2920015945
101	0.291743617
102	0.2914124273
103	0.2912199351
104	0.2910371141
105	0.2907901504
106	0.2905637226
107	0.2903435193
108	0.2899391823
109	0.2897661398
110	0.2894971516
111	0.2893408902
112	0.2889892808
113	0.2886449972
114	0.2884670068
115	0.2882619838
116	0.2878697693
117	0.2875710962
118	0.2873601465
119	0.2870845618
120	0.2868995834
121	0.2865823892
122	0.2861377448
123	0.2858814849
124	0.2855474124
125	0.28529985
126	0.2849120202
127	0.2845172355
128	0.2843572144
129	0.2841327597
130	0.283894694
131	0.283650315
132	0.2834064876
133	0.2832588582
134	0.2830793108
135	0.2828842946
136	0.2824519535
137	0.2822411169
138	0.2820203347
139	0.2817719727
140	0.2816192239
141	0.2812701326
142	0.2810540344
143	0.2808594019
144	0.280567992
145	0.2803503527
146	0.2801237303
147	0.2799067161
148	0.2797687947
149	0.2795837773
150	0.2793986759
151	0.2788901755
152	0.2787357085
153	0.2783932127
154	0.2778793065
155	0.2776523204
156	0.2774751806
157	0.2772707622
158	0.2770234983
159	0.2767733013
160	0.2765757196
161	0.2763827666
162	0.2761420398
163	0.2758077413
164	0.2754392081
165	0.2751295578
166	0.274940798
167	0.2747251067
168	0.2744116743
169	0.2742318981
170	0.2740318273
171	0.2737241549
172	0.2734943392
173	0.2732960528
174	0.2730595449
175	0.2727714833
176	0.2726475825
177	0.272464582
178	0.2720974396
179	0.2719055023
180	0.2717096192
181	0.2714445977
182	0.2711973311
183	0.2709051997
184	0.2707325773
185	0.2705233023
186	0.2703149306
187	0.2701351675
188	0.269884104
189	0.2696155726
190	0.2693474397
191	0.269152542
192	0.2689302334
193	0.2687686104
194	0.2686506768
195	0.2684471461
196	0.2682340967
197	0.2679718348
198	0.2677424234
199	0.2675490071
200	0.2673164963
201	0.2669243498
202	0.2667562282
203	0.2665610604
204	0.2663414722
205	0.2660302983
206	0.2656390923
207	0.265465097
208	0.2651463604
209	0.2647559252
210	0.2645499543
211	0.2641166405
212	0.2638982792
213	0.263480556
214	0.2633302905
215	0.2631281452
216	0.262871781
217	0.2627250111
218	0.262451734
219	0.2623162198
220	0.2621190318
221	0.2618526623
222	0.26158142
223	0.2612858947
224	0.2610592534
225	0.2608723677
226	0.2607313044
227	0.2605366083
228	0.2603639353
229	0.2601522696
230	0.2600130576
231	0.2598327839
232	0.2595881189
233	0.2593256091
234	0.2591829132
235	0.2589552866
236	0.258698949
237	0.2584024336
238	0.258136767
239	0.2579390755
240	0.2576554079
241	0.2573918533
242	0.2572115229
243	0.2570133345
244	0.2567104949
245	0.2563524898
246	0.2562034637
247	0.2560474123
248	0.2558910766
249	0.2558063115
250	0.2556453393
251	0.2553891226
252	0.2552055559
253	0.2550170951
254	0.2548848525
255	0.2546457857
256	0.2543147456
257	0.2541191459
258	0.253986274
259	0.2536839559
260	0.2534624095
261	0.2532109717
262	0.2530457689
263	0.2527931392
264	0.2525922022
265	0.2523929313
266	0.2522050483
267	0.2520759597
268	0.2518470918
269	0.2516782884
270	0.2514316298
271	0.2513063257
272	0.2511479574
273	0.2509652315
274	0.2508371891
275	0.2506105828
276	0.250408848
277	0.2502098963
278	0.2501001054
279	0.2498763806
280	0.2497498554
281	0.2496040447
282	0.2495126684
283	0.2494247806
284	0.24936167
285	0.2492801826
286	0.2490453097
287	0.2488318022
288	0.2486084975
289	0.248476832
290	0.2482074805
291	0.2479211414
292	0.2477577834
293	0.2476341502
294	0.2475282132
295	0.2474114745
296	0.2472681299
297	0.2471821723
298	0.2470369206
299	0.2468353496
