iter	Passed	Remaining
0	48	14483
1	50	7548
2	53	5251
3	55	4121
4	58	3431
5	60	2974
6	62	2636
7	65	2383
8	67	2187
9	70	2039
10	73	1929
11	75	1822
12	77	1704
13	79	1633
14	82	1568
15	84	1507
16	87	1460
17	90	1420
18	93	1377
19	95	1338
20	98	1304
21	100	1271
22	103	1248
23	106	1226
24	109	1202
25	112	1180
26	115	1168
27	116	1132
28	119	1118
29	122	1100
30	124	1081
31	126	1062
32	128	1041
33	131	1025
34	133	1011
35	135	997
36	137	980
37	139	964
38	141	949
39	143	933
40	145	918
41	146	902
42	148	887
43	150	873
44	151	859
45	153	845
46	154	832
47	156	819
48	157	806
49	158	794
50	160	782
51	161	770
52	162	756
53	163	745
54	164	734
55	166	723
56	167	712
57	168	702
58	169	692
59	170	681
60	171	671
61	172	661
62	173	651
63	174	642
64	175	632
65	175	623
66	176	614
67	177	605
68	178	596
69	178	587
70	179	579
71	180	570
72	180	562
73	181	554
74	182	546
75	182	539
76	183	531
77	184	524
78	184	516
79	185	509
80	185	502
81	186	495
82	187	489
83	187	482
84	188	476
85	188	469
86	189	463
87	190	457
88	190	451
89	191	445
90	191	440
91	192	435
92	193	429
93	193	424
94	194	419
95	195	414
96	195	409
97	196	404
98	196	399
99	197	394
100	198	390
101	198	385
102	199	380
103	199	376
104	200	371
105	200	367
106	201	363
107	201	359
108	202	354
109	202	350
110	203	346
111	204	342
112	204	338
113	205	334
114	205	331
115	206	327
116	207	323
117	207	320
118	208	316
119	208	313
120	209	309
121	210	306
122	210	303
123	211	299
124	211	296
125	212	293
126	212	290
127	213	286
128	214	283
129	214	280
130	215	277
131	215	274
132	216	271
133	217	268
134	217	266
135	218	263
136	218	260
137	219	257
138	220	255
139	220	252
140	221	249
141	221	246
142	222	244
143	223	241
144	223	239
145	224	236
146	224	234
147	225	231
148	226	229
149	226	226
150	227	224
151	227	221
152	228	219
153	229	217
154	229	214
155	230	212
156	230	210
157	231	207
158	231	205
159	232	203
160	233	201
161	233	199
162	234	197
163	235	194
164	235	192
165	236	190
166	237	188
167	237	186
168	238	184
169	239	182
170	239	180
171	240	179
172	241	177
173	241	175
174	242	173
175	243	171
176	243	169
177	244	167
178	245	165
179	245	163
180	246	162
181	247	160
182	248	158
183	248	156
184	249	155
185	250	153
186	251	151
187	252	150
188	252	148
189	253	146
190	254	145
191	255	143
192	255	141
193	256	140
194	257	138
195	257	136
196	258	135
197	259	133
198	259	131
199	260	130
200	261	128
201	262	127
202	262	125
203	263	123
204	263	122
205	264	120
206	265	119
207	265	117
208	266	116
209	267	114
210	267	112
211	268	111
212	269	109
213	269	108
214	270	106
215	270	105
216	271	103
217	272	102
218	272	100
219	273	99
220	273	97
221	274	96
222	275	94
223	275	93
224	276	92
225	276	90
226	277	89
227	278	87
228	278	86
229	279	84
230	279	83
231	280	82
232	281	80
233	281	79
234	282	78
235	282	76
236	283	75
237	283	73
238	284	72
239	285	71
240	285	69
241	286	68
242	286	67
243	287	65
244	287	64
245	288	63
246	289	62
247	289	60
248	290	59
249	291	58
250	291	56
251	292	55
252	292	54
253	293	53
254	294	51
255	294	50
256	295	49
257	296	48
258	296	46
259	297	45
260	297	44
261	298	43
262	299	42
263	299	40
264	300	39
265	300	38
266	301	37
267	302	36
268	302	34
269	303	33
270	303	32
271	304	31
272	304	30
273	305	28
274	306	27
275	306	26
276	307	25
277	307	24
278	308	23
279	309	22
280	309	20
281	310	19
282	310	18
283	311	17
284	312	16
285	312	15
286	313	14
287	313	13
288	314	11
289	314	10
290	315	9
291	316	8
292	317	7
293	317	6
294	318	5
295	319	4
296	320	3
297	320	2
298	321	1
299	321	0
